Gene_id	Gene_symbol	Protein_name	Uniprot_ACC
ENSMUSG00000024376	Epb41l4a	Band 4.1-like protein 4A	E41LA_MOUSE
ENSMUSG00000055937	Krt28	Keratin, type I cytoskeletal 28	K1C28_MOUSE
ENSMUSG00000031285	Dcx	Neuronal migration protein doublecortin	DCX_MOUSE
ENSMUSG00000022684	Bfar	Bifunctional apoptosis regulator	BFAR_MOUSE
ENSMUSG00000036167	Pphln1	Periphilin-1	PPHLN_MOUSE
ENSMUSG00000033411	Ctdspl2	CTD small phosphatase-like protein 2	CTSL2_MOUSE
ENSMUSG00000035936	Aldh5a1	Succinate-semialdehyde dehydrogenase, mitochondrial	SSDH_MOUSE
ENSMUSG00000028452	Vcp	Transitional endoplasmic reticulum ATPase	TERA_MOUSE
ENSMUSG00000021255	Esrrb	Steroid hormone receptor ERR2	ERR2_MOUSE
ENSMUSG00000030166	Rad52	DNA repair protein RAD52 homolog	RAD52_MOUSE
ENSMUSG00000028427	Aqp7	Aquaporin-7	AQP7_MOUSE
ENSMUSG00000003198	Zfp959	Zinc finger protein 959	A0A286YE35_MOUSE
ENSMUSG00000032050	Rdx	Radixin	RADI_MOUSE
ENSMUSG00000029201	Ugdh	UDP-glucose 6-dehydrogenase	UGDH_MOUSE
ENSMUSG00000014353	Tmem87b	Transmembrane protein 87B	TM87B_MOUSE
ENSMUSG00000015087	Rabl6	Rab-like protein 6	RABL6_MOUSE
ENSMUSG00000049100	Pcdh10	Protocadherin 10	E9PX28_MOUSE
ENSMUSG00000000441	Raf1	RAF proto-oncogene serine/threonine-protein kinase	RAF1_MOUSE
ENSMUSG00000095675	Ccl21b	C-C motif chemokine 21b	CC21B_MOUSE
ENSMUSG00000030611	Mrps11	28S ribosomal protein S11, mitochondrial	RT11_MOUSE
ENSMUSG00000038023	Atp6v0a2	V-type proton ATPase 116 kDa subunit a2	VPP2_MOUSE
ENSMUSG00000042895	Abra	Actin-binding Rho-activating protein	ABRA_MOUSE
ENSMUSG00000017499	Cdc6	Cell division control protein 6 homolog	CDC6_MOUSE
ENSMUSG00000025234	Arih1	E3 ubiquitin-protein ligase ARIH1	ARI1_MOUSE
ENSMUSG00000030276	Ttll3	Tubulin monoglycylase TTLL3	TTLL3_MOUSE
ENSMUSG00000009647	Mcu	Calcium uniporter protein, mitochondrial	MCU_MOUSE
ENSMUSG00000032849	Abcc4	ATP-binding cassette sub-family C member 4	MRP4_MOUSE
ENSMUSG00000032092	Mpzl2	Myelin protein zero-like protein 2	MPZL2_MOUSE
ENSMUSG00000024871	Doc2g	Double C2-like domain-containing protein gamma	DOC2G_MOUSE
ENSMUSG00000040212	Emp3	Epithelial membrane protein 3	EMP3_MOUSE
ENSMUSG00000026111	Unc50	Protein unc-50 homolog	UNC50_MOUSE
ENSMUSG00000020435	Osbp2	Oxysterol-binding protein 2	OSBP2_MOUSE
ENSMUSG00000000711	Rab5b	Ras-related protein Rab-5B	RAB5B_MOUSE
ENSMUSG00000003269	Cyth2	Cytohesin-2	CYH2_MOUSE
ENSMUSG00000073010	Gm5127	Predicted gene 5127	Q3UQH6_MOUSE
ENSMUSG00000042487	Leo1	RNA polymerase-associated protein LEO1	LEO1_MOUSE
ENSMUSG00000078964	Ces1b	Carboxylic ester hydrolase	D3Z5G7_MOUSE
ENSMUSG00000022949	Clic6	Chloride intracellular channel protein 6	CLIC6_MOUSE
ENSMUSG00000015804	Med28	Mediator of RNA polymerase II transcription subunit 28	MED28_MOUSE
ENSMUSG00000022838	Eaf2	ELL-associated factor 2	EAF2_MOUSE
ENSMUSG00000098505	Gm14496	Predicted gene 14496	A0A494B9E1_MOUSE
ENSMUSG00000015467	Egfl8	Epidermal growth factor-like protein 8	EGFL8_MOUSE
ENSMUSG00000095672	ENSMUSG00000095672		
ENSMUSG00000033216	Eefsec	Selenocysteine-specific elongation factor	SELB_MOUSE
ENSMUSG00000020070	Rufy2	RUN and FYVE domain-containing protein 2	RUFY2_MOUSE
ENSMUSG00000023078	Cxcl13	C-X-C motif chemokine 13	CXL13_MOUSE
ENSMUSG00000040856	Dlk1	Protein delta homolog 1	DLK1_MOUSE
ENSMUSG00000020946	Gosr2	Golgi SNAP receptor complex member 2	GOSR2_MOUSE
ENSMUSG00000036197	Gxylt1	Glucoside xylosyltransferase 1	GXLT1_MOUSE
ENSMUSG00000030220	Arhgdib	Rho GDP-dissociation inhibitor 2	GDIR2_MOUSE
ENSMUSG00000037348	Paqr7	Membrane progestin receptor alpha	PAQR7_MOUSE
ENSMUSG00000026495	Efcab2	Dynein regulatory complex protein 8	DRC8_MOUSE
ENSMUSG00000021044	Adck1	AarF domain-containing protein kinase 1	ADCK1_MOUSE
ENSMUSG00000075040	Zfp408	Zfp408 protein	B7ZP32_MOUSE
ENSMUSG00000041483	Zfp281	Zinc finger protein 281	ZN281_MOUSE
ENSMUSG00000046230	Vps13a	Vacuolar protein sorting-associated protein 13A	VP13A_MOUSE
ENSMUSG00000073755	5730409E04Rik	UPF0500 protein C1orf216 homolog	CA216_MOUSE
ENSMUSG00000002204	Napsa	Napsin-A	NAPSA_MOUSE
ENSMUSG00000071669	Snx29	Sorting nexin-29	SNX29_MOUSE
ENSMUSG00000037492	Zmat4	Zinc finger matrin-type protein 4	ZMAT4_MOUSE
ENSMUSG00000032562	Gnai2	Guanine nucleotide-binding protein G(i) subunit alpha-2	GNAI2_MOUSE
ENSMUSG00000032350	Gclc	Glutamate--cysteine ligase catalytic subunit	GSH1_MOUSE
ENSMUSG00000023393	Slc17a9	Solute carrier family 17 member 9	S17A9_MOUSE
ENSMUSG00000029804	Herc3	Hect domain and RLD 3	A0A0N4SVW7_MOUSE
ENSMUSG00000000159	Igsf5	Immunoglobulin superfamily member 5	IGSF5_MOUSE
ENSMUSG00000024941	Scyl1	N-terminal kinase-like protein	SCYL1_MOUSE
ENSMUSG00000048978	Nrsn1	Neurensin-1	NRSN1_MOUSE
ENSMUSG00000029084	Cd38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	CD38_MOUSE
ENSMUSG00000024350	Dnajc18	DnaJ homolog subfamily C member 18	DJC18_MOUSE
ENSMUSG00000042709	Atpaf2	ATP synthase mitochondrial F1 complex assembly factor 2	ATPF2_MOUSE
ENSMUSG00000048965	Mrgpre	Mas-related G-protein coupled receptor member E	MRGRE_MOUSE
ENSMUSG00000026811	St6galnac6	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6	SIA7F_MOUSE
ENSMUSG00000009092	Derl3	Derlin-3	DERL3_MOUSE
ENSMUSG00000043284	Tmem11	Transmembrane protein 11, mitochondrial	TMM11_MOUSE
ENSMUSG00000045031	Cetn4	Centrin-4	CETN4_MOUSE
ENSMUSG00000045071	E130308A19Rik	Uncharacterized protein KIAA1958 homolog	K1958_MOUSE
ENSMUSG00000061882	Ccdc62	Coiled-coil domain-containing protein 62	CCD62_MOUSE
ENSMUSG00000062310	Glrp1	Glutamine repeat protein 1	E9Q9S8_MOUSE
ENSMUSG00000057729	Prtn3	Myeloblastin	PRTN3_MOUSE
ENSMUSG00000038195	Rilp	Rab-interacting lysosomal protein	RILP_MOUSE
ENSMUSG00000022586	Ly6i	Lymphocyte antigen 6I	LY6I_MOUSE
ENSMUSG00000024271	Elp2	Elongator complex protein 2	ELP2_MOUSE
ENSMUSG00000035504	Reep6	Receptor expression-enhancing protein 6	REEP6_MOUSE
ENSMUSG00000117819	Gm50253		
ENSMUSG00000068947	Olfr366	Olfactory receptor	Q7TRY4_MOUSE
ENSMUSG00000033161	Atp1a1	Sodium/potassium-transporting ATPase subunit alpha-1	AT1A1_MOUSE
ENSMUSG00000010751	Tnfrsf22	Tumor necrosis factor receptor superfamily member 22	TNR22_MOUSE
ENSMUSG00000118135	Gm50367		
ENSMUSG00000030521	Mphosph10	U3 small nucleolar ribonucleoprotein protein MPP10	MPP10_MOUSE
ENSMUSG00000072294	Klf12	Krueppel-like factor 12	KLF12_MOUSE
ENSMUSG00000029627	Zkscan14	Zinc finger protein 394	ZN394_MOUSE
ENSMUSG00000008384	Sertad1	SERTA domain-containing protein 1	SRTD1_MOUSE
ENSMUSG00000020680	Taf15	TATA-box-binding protein-associated factor 15	F6QCI0_MOUSE
ENSMUSG00000032342	Mto1	Protein MTO1 homolog, mitochondrial	MTO1_MOUSE
ENSMUSG00000063406	Tmed5	Transmembrane emp24 domain-containing protein 5	TMED5_MOUSE
ENSMUSG00000026017	Carf	Calcium-responsive transcription factor	CARTF_MOUSE
ENSMUSG00000036781	Rps27l	40S ribosomal protein S27-like	RS27L_MOUSE
ENSMUSG00000022651	Retnlg	Resistin-like gamma	RETNG_MOUSE
ENSMUSG00000059555	Tor4a	Torsin-4A	TOR4A_MOUSE
ENSMUSG00000030079	Ruvbl1	RuvB-like 1	RUVB1_MOUSE
ENSMUSG00000044734	Serpinb1a	Leukocyte elastase inhibitor A	ILEUA_MOUSE
ENSMUSG00000073893	Olfr472	Olfactory receptor 472	OL472_MOUSE
ENSMUSG00000000579	Dynlt1c	Dynein light chain Tctex-type 1	DYLT1_MOUSE
ENSMUSG00000028583	Pdpn	Podoplanin	PDPN_MOUSE
ENSMUSG00000046818	Ddit4l	DNA damage-inducible transcript 4-like protein	DDT4L_MOUSE
ENSMUSG00000040688	Tbl3	Transducin beta-like protein 3	TBL3_MOUSE
ENSMUSG00000032808	Cyp2c38	Cytochrome P450 2C38	CP238_MOUSE
ENSMUSG00000052142	Rasal3	RAS protein activator like-3	RASL3_MOUSE
ENSMUSG00000090894	Olfr110	Olfactory receptor	A2RT31_MOUSE
ENSMUSG00000067206	Lrrc66	Leucine-rich repeat-containing protein 66	LRC66_MOUSE
ENSMUSG00000037190	Cyb561d2	Transmembrane reductase CYB561D2	C56D2_MOUSE
ENSMUSG00000034098	Fstl5	Follistatin-related protein 5	FSTL5_MOUSE
ENSMUSG00000055602	Tcp10b	T-complex protein 10b	A0A3B2W411_MOUSE
ENSMUSG00000030433	Sbk2	Serine/threonine-protein kinase SBK2	SBK2_MOUSE
ENSMUSG00000021537	Cetn3	Centrin-3	CETN3_MOUSE
ENSMUSG00000022952	Runx1	Runt-related transcription factor 1	RUNX1_MOUSE
ENSMUSG00000028946	Hes3	Transcription factor HES-3	HES3_MOUSE
ENSMUSG00000052331	Ankrd44	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B	ANR44_MOUSE
ENSMUSG00000044938	Klhl31	Kelch-like protein 31	KLH31_MOUSE
ENSMUSG00000026427	Eif2d	Eukaryotic translation initiation factor 2D	EIF2D_MOUSE
ENSMUSG00000027239	Mdk	Midkine	MK_MOUSE
ENSMUSG00000073598	1700066B19Rik	Small integral membrane protein 33	SIM33_MOUSE
ENSMUSG00000020491	2810021J22Rik	RIKEN cDNA 2810021J22 gene	Q5NC62_MOUSE
ENSMUSG00000031098	Syt8	Synaptotagmin-8	SYT8_MOUSE
ENSMUSG00000038453	Srcin1	SRC kinase signaling inhibitor 1	SRCN1_MOUSE
ENSMUSG00000021675	F2rl2	Proteinase-activated receptor 3	PAR3_MOUSE
ENSMUSG00000036352	Ubac1	Ubiquitin-associated domain-containing protein 1	UBAC1_MOUSE
ENSMUSG00000047907	Tshz2	Teashirt homolog 2	TSH2_MOUSE
ENSMUSG00000057969	Sema3b	Semaphorin-3B	SEM3B_MOUSE
ENSMUSG00000095547	Gm10719		
ENSMUSG00000037703	Lzts3	Leucine zipper putative tumor suppressor 3	LZTS3_MOUSE
ENSMUSG00000103770	Pcdha9	Protocadherin alpha-9	PCDA9_MOUSE
ENSMUSG00000051586	Mical3	[F-actin]-monooxygenase MICAL3	MICA3_MOUSE
ENSMUSG00000072946	Ptgr2	Prostaglandin reductase 2	PTGR2_MOUSE
ENSMUSG00000060950	Trmt61a	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A	TRM61_MOUSE
ENSMUSG00000022987	Zfp641	Zinc finger protein 641	ZN641_MOUSE
ENSMUSG00000030157	Clec2d	C-type lectin domain family 2 member D	CLC2D_MOUSE
ENSMUSG00000040621	Gemin8	Gem-associated protein 8	GEMI8_MOUSE
ENSMUSG00000036053	Fmnl2	Formin-like protein 2	FMNL2_MOUSE
ENSMUSG00000060671	Atp8b2	Phospholipid-transporting ATPase ID	AT8B2_MOUSE
ENSMUSG00000026311	Asb1	Ankyrin repeat and SOCS box protein 1	ASB1_MOUSE
ENSMUSG00000022768	Ccdc116	Coiled-coil domain-containing protein 116	CC116_MOUSE
ENSMUSG00000022000	Zc3h13	Zinc finger CCCH domain-containing protein 13	ZC3HD_MOUSE
ENSMUSG00000094613	A630076J17Rik	RIKEN cDNA A630076J17 gene	J3QQ32_MOUSE
ENSMUSG00000028137	Celf3	CUGBP Elav-like family member 3	CELF3_MOUSE
ENSMUSG00000029556	Hnf1a	Hepatocyte nuclear factor 1-alpha	HNF1A_MOUSE
ENSMUSG00000030180	Kdm5a	Lysine-specific demethylase 5A	KDM5A_MOUSE
ENSMUSG00000042369	Rbm45	RNA-binding protein 45	RBM45_MOUSE
ENSMUSG00000024530	Prelid3a	PRELI domain containing protein 3A	PLD3A_MOUSE
ENSMUSG00000000753	Serpinf1	Pigment epithelium-derived factor	PEDF_MOUSE
ENSMUSG00000033356	Pus7l	Pseudouridylate synthase 7 homolog-like protein	PUS7L_MOUSE
ENSMUSG00000020894	Vamp2	Vesicle-associated membrane protein 2	VAMP2_MOUSE
ENSMUSG00000062822	4833420G17Rik	Uncharacterized protein C5orf34 homolog	CE034_MOUSE
ENSMUSG00000032607	Amt	Aminomethyltransferase, mitochondrial	GCST_MOUSE
ENSMUSG00000022841	Ap2m1	AP-2 complex subunit mu	AP2M1_MOUSE
ENSMUSG00000003421	Nosip	Nitric oxide synthase-interacting protein	NOSIP_MOUSE
ENSMUSG00000023873	1700010I14Rik	RIKEN cDNA 1700010I14 gene	A0A3B2W3S4_MOUSE
ENSMUSG00000025612	Bach1	Transcription regulator protein BACH1	BACH1_MOUSE
ENSMUSG00000022604	Cep97	Centrosomal protein of 97 kDa	CEP97_MOUSE
ENSMUSG00000034987	Hrh2	Histamine H2 receptor	HRH2_MOUSE
ENSMUSG00000061046	Haghl	Hydroxyacylglutathione hydrolase-like protein	HAGHL_MOUSE
ENSMUSG00000022546	Gpt	Alanine aminotransferase 1	ALAT1_MOUSE
ENSMUSG00000040502	Marchf9	E3 ubiquitin-protein ligase MARCHF9	MARH9_MOUSE
ENSMUSG00000047428	Dlk2	Protein delta homolog 2	DLK2_MOUSE
ENSMUSG00000044726	Erich5	Glutamate-rich protein 5	ERIC5_MOUSE
ENSMUSG00000025609	Mkln1	Muskelin	MKLN1_MOUSE
ENSMUSG00000015787	Abo	Histo-blood group ABO system transferase	BGAT_MOUSE
ENSMUSG00000066415	Msl2	E3 ubiquitin-protein ligase MSL2	MSL2_MOUSE
ENSMUSG00000000787	Ddx3x	ATP-dependent RNA helicase DDX3X	DDX3X_MOUSE
ENSMUSG00000021806	Nid2	Nidogen-2	NID2_MOUSE
ENSMUSG00000041852	Tcf20	Transcription factor 20	TCF20_MOUSE
ENSMUSG00000043923	Ccdc84	Centrosomal AT-AC splicing factor	CATAC_MOUSE
ENSMUSG00000027510	Rbm38	RNA-binding protein 38	RBM38_MOUSE
ENSMUSG00000046811	Gltpd2	Glycolipid transfer protein domain-containing protein 2	GLTD2_MOUSE
ENSMUSG00000045004	Spata21	Spermatogenesis-associated protein 21	SPT21_MOUSE
ENSMUSG00000057137	Tmem140	Transmembrane protein 140	TM140_MOUSE
ENSMUSG00000104445	Rhbg	Ammonium transporter Rh type B	RHBG_MOUSE
ENSMUSG00000090353	Gm17555		
ENSMUSG00000052270	Fpr2	Formyl peptide receptor 2	FPR2_MOUSE
ENSMUSG00000034940	Synrg	Synergin gamma	SYNRG_MOUSE
ENSMUSG00000025036	Sfxn2	Sideroflexin-2	SFXN2_MOUSE
ENSMUSG00000049658	Bdp1	Transcription factor TFIIIB component B'' homolog	BDP1_MOUSE
ENSMUSG00000039911	Spsb1	SPRY domain-containing SOCS box protein 1	SPSB1_MOUSE
ENSMUSG00000057406	Nsd2	Histone-lysine N-methyltransferase NSD2	NSD2_MOUSE
ENSMUSG00000044864	Ankrd50	Ankyrin repeat domain 50	A6H6J9_MOUSE
ENSMUSG00000006777	Krt23	Keratin, type I cytoskeletal 23	K1C23_MOUSE
ENSMUSG00000000318	Clec10a	C-type lectin domain family 10 member A	CLC10_MOUSE
ENSMUSG00000048445	Ccdc57	Coiled-coil domain-containing protein 57	CCD57_MOUSE
ENSMUSG00000025020	Slit1	Slit homolog 1 protein	SLIT1_MOUSE
ENSMUSG00000036578	Fxyd7	FXYD domain-containing ion transport regulator 7	FXYD7_MOUSE
ENSMUSG00000037798	Mat1a	S-adenosylmethionine synthase isoform type-1	METK1_MOUSE
ENSMUSG00000022897	Dyrk1a	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	DYR1A_MOUSE
ENSMUSG00000054509	Parp4	Protein mono-ADP-ribosyltransferase PARP4	PARP4_MOUSE
ENSMUSG00000028701	Lurap1	Leucine rich adaptor protein 1	LURA1_MOUSE
ENSMUSG00000060679	Mrps9	28S ribosomal protein S9, mitochondrial	RT09_MOUSE
ENSMUSG00000026694	Eef1aknmt	eEF1A lysine and N-terminal methyltransferase	EFNMT_MOUSE
ENSMUSG00000073158	9030624G23Rik	RIKEN cDNA 9030624G23 gene	Q9D308_MOUSE
ENSMUSG00000054200	Ffar4	Free fatty acid receptor 4	FFAR4_MOUSE
ENSMUSG00000029161	Cgref1	Cell growth regulator with EF hand domain protein 1	CGRE1_MOUSE
ENSMUSG00000025003	Cyp2c39	Cytochrome P450 2C39	CP239_MOUSE
ENSMUSG00000000340	Dbt	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	ODB2_MOUSE
ENSMUSG00000038156	Spon1	Spondin-1	SPON1_MOUSE
ENSMUSG00000117679	Apbb3	Amyloid-beta A4 precursor protein-binding family B member 3	APBB3_MOUSE
ENSMUSG00000002635	Pdcd2l	Programmed cell death protein 2-like	PDD2L_MOUSE
ENSMUSG00000006517	Mvd	Diphosphomevalonate decarboxylase	MVD1_MOUSE
ENSMUSG00000032864	Rag2	V(D)J recombination-activating protein 2	RAG2_MOUSE
ENSMUSG00000031640	Gm45753		
ENSMUSG00000066233	Tmem42	Transmembrane protein 42	TMM42_MOUSE
ENSMUSG00000028937	Acot7	Cytosolic acyl coenzyme A thioester hydrolase	BACH_MOUSE
ENSMUSG00000079283	2310009B15Rik	RIKEN cDNA 2310009B15 gene	A0A0A6YWI4_MOUSE
ENSMUSG00000040899	Ccr6	C-C chemokine receptor type 6	CCR6_MOUSE
ENSMUSG00000029761	Cald1	Caldesmon 1	D3Z6I7_MOUSE
ENSMUSG00000029869	Ephb6	Ephrin type-B receptor 6	EPHB6_MOUSE
ENSMUSG00000034154	Ino80	Chromatin-remodeling ATPase INO80	INO80_MOUSE
ENSMUSG00000022019	Tdrd3	Tudor domain-containing protein 3	TDRD3_MOUSE
ENSMUSG00000068574	Olfr458	Olfactory receptor	A1L0W7_MOUSE
ENSMUSG00000022197	Pdzd2	PDZ domain-containing 2	A0A087WQ09_MOUSE
ENSMUSG00000021646	Mccc2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	MCCB_MOUSE
ENSMUSG00000009035	Tmem184b	Transmembrane protein 184B	T184B_MOUSE
ENSMUSG00000118590	Gm15433		
ENSMUSG00000029701	Rbm28	RNA-binding protein 28	RBM28_MOUSE
ENSMUSG00000015202	Cnksr3	Connector enhancer of kinase suppressor of ras 3	CNKR3_MOUSE
ENSMUSG00000022041	Chrna2	Neuronal acetylcholine receptor subunit alpha-2	ACHA2_MOUSE
ENSMUSG00000027944	Hax1	HCLS1-associated protein X-1	HAX1_MOUSE
ENSMUSG00000038214	Bend3	BEN domain-containing protein 3	BEND3_MOUSE
ENSMUSG00000057375	Yipf1	Protein YIPF1	YIPF1_MOUSE
ENSMUSG00000054555	Adam12	Disintegrin and metalloproteinase domain-containing protein 12	ADA12_MOUSE
ENSMUSG00000060487	Samd5	Sterile alpha motif domain-containing protein 5	SAMD5_MOUSE
ENSMUSG00000053111	Fank1	Fibronectin type 3 and ankyrin repeat domains 1 protein	FANK1_MOUSE
ENSMUSG00000031967	Afg3l1	AFG3-like protein 1	AFG31_MOUSE
ENSMUSG00000023966	Rsph9	Radial spoke head protein 9 homolog	RSPH9_MOUSE
ENSMUSG00000029196	Tada2b	Transcriptional adaptor 2B	D3YW26_MOUSE
ENSMUSG00000036120	Rfxank	DNA-binding protein RFXANK	RFXK_MOUSE
ENSMUSG00000040660	Cyp2b9	Cytochrome P450 2B9	CP2B9_MOUSE
ENSMUSG00000026279	Thap4	Peroxynitrite isomerase THAP4	THAP4_MOUSE
ENSMUSG00000073139	Tmem185a	Transmembrane protein 185A	T185A_MOUSE
ENSMUSG00000116652	B830017H08Rik		
ENSMUSG00000033715	Akr1c14	Aldo-keto reductase family 1, member C14	A0A1Y7VNR1_MOUSE
ENSMUSG00000027198	Ext2	Exostosin-2	EXT2_MOUSE
ENSMUSG00000079492	Gm11127	H-2 class I histocompatibility antigen, K-D alpha chain	HA1D_MOUSE
ENSMUSG00000007646	Rad51c	DNA repair protein RAD51 homolog 3	RA51C_MOUSE
ENSMUSG00000024922	Ovol1	Putative transcription factor Ovo-like 1	OVOL1_MOUSE
ENSMUSG00000040446	Rprd1a	Regulation of nuclear pre-mRNA domain-containing protein 1A	RPR1A_MOUSE
ENSMUSG00000026648	Dclre1c	Protein artemis	DCR1C_MOUSE
ENSMUSG00000026478	Lamc1	Laminin subunit gamma-1	LAMC1_MOUSE
ENSMUSG00000031532	Saraf	Store-operated calcium entry-associated regulatory factor	SARAF_MOUSE
ENSMUSG00000027225	Duoxa2	Dual oxidase maturation factor 2	DOXA2_MOUSE
ENSMUSG00000034993	Vat1	Synaptic vesicle membrane protein VAT-1 homolog	VAT1_MOUSE
ENSMUSG00000044155	Lsm8	U6 snRNA-associated Sm-like protein LSm8	LSM8_MOUSE
ENSMUSG00000039168	Dap	Death-associated protein 1	DAP1_MOUSE
ENSMUSG00000094347	Olfr784	Olfactory receptor	Q8VFZ9_MOUSE
ENSMUSG00000022803	Popdc2	Popeye domain-containing protein 2	POPD2_MOUSE
ENSMUSG00000048620	Olfr1336	Olfactory receptor	Q3MI30_MOUSE
ENSMUSG00000026809	Spaca9	Sperm acrosome-associated protein 9	SACA9_MOUSE
ENSMUSG00000029777	Gars	Glycine--tRNA ligase	GARS_MOUSE
ENSMUSG00000050876	Spata31d1a	Spermatogenesis-associated 31 subfamily D, member 1A	A0A286YCE9_MOUSE
ENSMUSG00000069874	Irgm2	Immunity-related GTPase family M member 2	A0A140LIF8_MOUSE
ENSMUSG00000028675	Pnrc2	Proline-rich nuclear receptor coactivator 2	PNRC2_MOUSE
ENSMUSG00000038371	Sbf2	Myotubularin-related protein 13	MTMRD_MOUSE
ENSMUSG00000076434	Wfdc3	WAP four-disulfide core domain protein 3	WFDC3_MOUSE
ENSMUSG00000056919	Cep162	Centrosomal protein of 162 kDa	CE162_MOUSE
ENSMUSG00000027002	Nckap1	Nck-associated protein 1	NCKP1_MOUSE
ENSMUSG00000047368	Abhd17b	Alpha/beta hydrolase domain-containing protein 17B	AB17B_MOUSE
ENSMUSG00000021090	Lrrc9	Leucine-rich repeat-containing protein 9	LRRC9_MOUSE
ENSMUSG00000033294	Noc4l	Nucleolar complex protein 4 homolog	NOC4L_MOUSE
ENSMUSG00000021532	Fastkd3	FAST kinase domain-containing protein 3, mitochondrial	FAKD3_MOUSE
ENSMUSG00000042189	Tekt3	Tektin-3	TEKT3_MOUSE
ENSMUSG00000044378	Slc15a5	Solute carrier family 15 member 5	S15A5_MOUSE
ENSMUSG00000061039	Olfr920	Olfactory receptor	E9Q413_MOUSE
ENSMUSG00000009075	Cabp7	Calcium-binding protein 7	CABP7_MOUSE
ENSMUSG00000021809	Nudt13	NAD(P)H pyrophosphatase NUDT13, mitochondrial	NUD13_MOUSE
ENSMUSG00000050244	Heatr1	HEAT repeat-containing protein 1	A0A1Y7VNG8_MOUSE
ENSMUSG00000025353	Ormdl2	ORM1-like protein 2	ORML2_MOUSE
ENSMUSG00000033610	Pank1	Pantothenate kinase 1	PANK1_MOUSE
ENSMUSG00000020903	Stx8	Syntaxin-8	STX8_MOUSE
ENSMUSG00000024666	Tmem138	Transmembrane protein 138	TM138_MOUSE
ENSMUSG00000043110	Lrrn4	Leucine-rich repeat neuronal protein 4	LRRN4_MOUSE
ENSMUSG00000036699	Zcchc12	Zinc finger CCHC domain-containing protein 12	ZCH12_MOUSE
ENSMUSG00000039770	Ypel5	Protein yippee-like 5	YPEL5_MOUSE
ENSMUSG00000066152	Slc31a2	Probable low affinity copper uptake protein 2	COPT2_MOUSE
ENSMUSG00000008575	Nfib	Nuclear factor 1 B-type	NFIB_MOUSE
ENSMUSG00000045827	Serpinb9	SPI6	O08797_MOUSE
ENSMUSG00000046312	Myorg	Myogenesis-regulating glycosidase	MYORG_MOUSE
ENSMUSG00000035456	Prdm8	PR domain zinc finger protein 8	PRDM8_MOUSE
ENSMUSG00000040498	Igsf23	Immunoglobulin superfamily, member 23	A0A140LJ51_MOUSE
ENSMUSG00000000149	Gna12	Guanine nucleotide-binding protein subunit alpha-12	GNA12_MOUSE
ENSMUSG00000015652	Steap1	Metalloreductase STEAP1	STEA1_MOUSE
ENSMUSG00000027863	Cd2	T-cell surface antigen CD2	CD2_MOUSE
ENSMUSG00000078798	Sult2a1	Sulfotransferase 2A1	ST2A1_MOUSE
ENSMUSG00000036986	Pml	Protein PML	PML_MOUSE
ENSMUSG00000023066	Rttn	Rotatin	RTTN_MOUSE
ENSMUSG00000030872	Gga2	ADP-ribosylation factor-binding protein GGA2	GGA2_MOUSE
ENSMUSG00000045983	Eif4g1	Eukaryotic translation initiation factor 4 gamma 1	IF4G1_MOUSE
ENSMUSG00000090171	Ugt1a2	UDP-glucuronosyltransferase 1-2	UD12_MOUSE
ENSMUSG00000026272	Agxt	Serine--pyruvate aminotransferase, mitochondrial	SPYA_MOUSE
ENSMUSG00000006599	Gtf2h1	General transcription factor IIH subunit 1	TF2H1_MOUSE
ENSMUSG00000061322	Dnai1	Dynein axonemal intermediate chain 1	DNAI1_MOUSE
ENSMUSG00000042744	Hectd4	HECT domain E3 ubiquitin protein ligase 4	A0A0J9YUS1_MOUSE
ENSMUSG00000027579	Srms	Tyrosine-protein kinase Srms	SRMS_MOUSE
ENSMUSG00000024431	Nr3c1	Glucocorticoid receptor	GCR_MOUSE
ENSMUSG00000061080	Lsamp	Limbic system-associated membrane protein	LSAMP_MOUSE
ENSMUSG00000041258	Zfp236	Zinc finger protein 236	B2RR24_MOUSE
ENSMUSG00000058056	Palld	Palladin	PALLD_MOUSE
ENSMUSG00000032314	Etfa	Electron transfer flavoprotein subunit alpha, mitochondrial	ETFA_MOUSE
ENSMUSG00000022253	Nadk2	NAD kinase 2, mitochondrial	NAKD2_MOUSE
ENSMUSG00000049241	Hcar1	Hydroxycarboxylic acid receptor 1	HCAR1_MOUSE
ENSMUSG00000031729	Ist1	IST1 homolog	IST1_MOUSE
ENSMUSG00000084136	Vmn1r207	Vomeronasal type-1 receptor	A0A494BA14_MOUSE
ENSMUSG00000028309	Rnf20	E3 ubiquitin-protein ligase BRE1A	BRE1A_MOUSE
ENSMUSG00000032300	1700017B05Rik	Uncharacterized protein C15orf39 homolog	CO039_MOUSE
ENSMUSG00000061603	Akap6	A kinase (PRKA) anchor protein 6	E9Q9K8_MOUSE
ENSMUSG00000022012	Enox1	Ecto-NOX disulfide-thiol exchanger 1	ENOX1_MOUSE
